The input file name is SimpleOFE3.txt.

                      DISPLACEMENT

  Node No.           x-displacement                   y-displacement
     0            0.000000000000000e+00            0.000000000000000e+00
     1            2.039931713460669e+00           -3.120022103604923e+00
     2            3.060029448753124e+00           -4.680104032625309e+00
     3           -4.116610557624080e-05            3.999851009341461e-01
     4            1.530023556620034e+00           -2.020021033981986e+00
     5            3.399883191435820e+00           -4.760007572379902e+00
     6            0.000000000000000e+00            8.007946487220179e-01
     7            2.210496838547825e+00           -2.580271286059348e+00
     8            3.063099956395343e+00           -3.882522201583183e+00
     9            2.549929228520225e+00           -3.900005087109559e+00
    10            3.909965867647486e+00           -5.980057574113778e+00
    11            5.099965780383222e+00           -7.800076552400004e+00
    12            2.039977068798625e+00           -2.840015394921175e+00
    13            3.569983811486534e+00           -5.140055003996766e+00
    14            5.099990763387416e+00           -7.400076425427621e+00
    15            1.020105843218574e+00           -7.601755178803554e-01
    16            3.060060139844532e+00           -3.880074346748403e+00
    17            5.100024582879756e+00           -7.000085661431558e+00
    18            1.386424485740992e-05            3.200617549057774e-01
    19            2.380072482046958e+00           -3.400071213190933e+00
    20            3.399878739993755e+00           -4.919992499333349e+00
    21            0.000000000000000e+00            7.998992342552361e-01
    22            2.379973543106389e+00           -2.839999933609798e+00
    23            3.739997939650566e+00           -4.920084479944181e+00
    24            3.229968131804638e+00           -4.940050720610400e+00
    25            4.504965913651668e+00           -6.890068202766178e+00
    26            2.294972256001138e+00           -3.370041660740914e+00
    27            3.017473377518117e+00           -4.465048553737923e+00
    28            3.739975194501332e+00           -5.560057756015839e+00
    29            4.419976822603150e+00           -6.580066986290254e+00
    30            5.099978218320825e+00           -7.600077160087960e+00
    31            2.804983825584901e+00           -3.990046511606775e+00
    32            4.334987827149991e+00           -6.270066715635402e+00
    33            1.530018403777652e+00           -1.800095239541069e+00
    34            2.422501343638300e+00           -3.155053495192878e+00
    35            3.315009206795277e+00           -4.510057607257652e+00
    36            4.207501465652538e+00           -5.855064068589559e+00
    37            5.100002138791021e+00           -7.200077521732637e+00
    38            2.039943936145431e+00           -2.320002563129120e+00
    39            4.080015234177345e+00           -5.440058985942194e+00
    40            1.189977105692871e+00           -1.540010172798569e+00
    41            2.890006131386104e+00           -4.160045029043125e+00
    42            1.025639993073160e-05            5.598801325469063e-01
    43            1.189956946870201e+00           -1.280037685946334e+00
    44            2.379903535090101e+00           -3.119933143468504e+00
    45            2.974916339420294e+00           -4.019957489766184e+00
    46            3.570007782158166e+00           -4.920047756999231e+00
    47            1.189987189825358e+00           -1.020042676551501e+00
    48            3.059936519205591e+00           -3.879979994001024e+00

The strain ENERGY is: 1.920000000905691e+01.
